"last_name, first_name","player_id","year","on_base_plus_slg","woba","xwoba","xiso","avg_swing_speed","avg_swing_length","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed"
"Steer, Spencer","668715","2024","0.721",".316",".317",".150",71.6,"7.4","88",34.2,6.4,39.9,"99.163434247","93.708755492"
"Reynolds, Bryan","668804","2024","0.791",".343",".352",".200",71.5,"6.8","89.9",37.5,9.6,45.4,"100.987209316","94.867542484"
"McCann, Kyle","668832","2024","0.689",".304",".280",".174",73.6,"7.8","89.6",30.9,12.3,38.3,"100.534877805","94.549176173"
"Martin, Austin","668885","2024","0.670",".297",".302",".087",66.9,"6.9","87.2",39.4,1.1,33.5,"96.642936413","92.431606902"
"Vientos, Mark","668901","2024","0.838",".356",".335",".227",71.7,"7.6","91.2",34.6,14.1,46.6,"102.544746312","95.741575567"
"Lewis, Royce","668904","2024","0.747",".317",".323",".197",73.3,"7.7","87.1",36.3,11.2,37.7,"99.690144144","93.856491441"
"Turang, Brice","668930","2024","0.665",".294",".298",".082",66.2,"6.1","87",32,2.4,29.7,"96.869333063","92.521821874"
"Rutschman, Adley","668939","2024","0.709",".309",".319",".144",69,"6.9","88.2",35.4,6.1,36.6,"98.081119454","93.149039684"
"Rojas, Josh","668942","2024","0.640",".286",".295",".135",66.6,"7.3","88.2",35.6,5.7,38.2,"97.946263631","93.225198599"
"Mitchell, Garrett","669003","2024","0.811",".351",".312",".146",75.7,"7.4","88.8",34.6,8.7,37,"100.952074833","94.510744"
"Melendez Jr., MJ","669004","2024","0.673",".292",".317",".190",72.8,"7.7","91.1",29.1,8.4,45.2,"101.49620396","95.196771409"
"Marsh, Brandon","669016","2024","0.747",".326",".328",".177",71.9,"7.2","91.6",40.7,10,47.4,"101.08883194","95.182442734"
"Stowers, Kyle","669065","2024","0.601",".265",".292",".153",73.7,"6.8","91",36.1,10.9,51.3,"102.156753559","95.709246525"
"Langeliers, Shea","669127","2024","0.738",".315",".332",".225",74.1,"7.3","91.3",35.3,12.8,44,"102.05460686","95.451719446"
"Campusano, Luis","669134","2024","0.642",".282",".290",".113",69.2,"7.6","87.7",27.4,4.6,34.2,"98.345403475","93.277557745"
"Murphy, Sean","669221","2024","0.636",".281",".308",".191",73.2,"7.9","88",25.7,9.6,36.5,"99.757961548","94.022077485"
"Senzel, Nick","669222","2024","0.614",".273",".301",".126",68.7,"7.5","84",38.6,5.7,26.7,"95.746731264","91.876891724"
"Wells, Austin","669224","2024","0.717",".315",".341",".195",72.5,"7.4","88.4",34.5,9.1,38.9,"99.723567259","94.070969368"
"Malloy, Justyn-Henry","669234","2024","0.657",".291",".269",".152",69,"7","87.6",31.9,10.9,37.8,"98.290103167","93.208402605"
"Edman, Tommy","669242","2024","0.711",".307",".271",".108",70,"6.9","87.6",31.5,3.6,35.1,"96.992259821","92.61181955"
"Smith, Will","669257","2024","0.760",".326",".336",".208",67.9,"7.2","89.4",38.3,10.8,42,"99.318269153","93.929159392"
"Suwinski, Jack","669261","2024","0.588",".260",".295",".146",73.3,"7.3","88.9",28.8,8.8,38.2,"100.854161429","94.49330497"
"Espinal, Santiago","669289","2024","0.651",".285",".289",".088",66.5,"7.3","85.9",35,1.9,24.1,"94.957566883","91.492088339"
"Miranda, Jose","669304","2024","0.763",".328",".306",".143",71,"7.6","88.9",33.9,5.9,38.9,"99.359747765","93.786600855"
"Gorman, Nolan","669357","2024","0.671",".290",".312",".232",73.2,"7.5","88.5",40.3,16.7,38.6,"100.727790741","94.443953953"
"Edwards, Xavier","669364","2024","0.820",".359",".297",".073",64.5,"6.3","86.1",37.6,1.8,24.3,"95.052217333","91.536547476"
"Burger, Jake","669394","2024","0.761",".325",".337",".225",74.7,"7.5","91.3",32.4,12.3,46.8,"103.619986856","96.171144407"
"Smith, Josh","669701","2024","0.731",".323",".304",".113",70.1,"6.8","87.8",33.7,3.7,37.1,"98.306997711","93.25999596"
"Triolo, Jared","669707","2024","0.611",".275",".289",".112",70.5,"7.8","88.4",38.8,5.3,39.1,"99.388421871","93.892534424"
"Hays, Austin","669720","2024","0.699",".303",".288",".132",72.6,"7.2","88.9",30.2,6.7,40.2,"100.415422697","94.347982429"
"Toglia, Michael","669911","2024","0.767",".329",".365",".272",73.2,"7.5","92.1",39.2,17.3,50.2,"102.673791797","96.069366471"
"Lopez, Nicky","670032","2024","0.606",".275",".271",".065",64.2,"6.7","85",30,1.5,16.9,"94.065401402","91.042138226"
"Raley, Luke","670042","2024","0.783",".339",".320",".206",75,"7.2","90.1",31.5,11,41.8,"101.696067615","95.042152538"
"Wallner, Matt","670242","2024","0.895",".385",".359",".237",77.3,"7.3","92.8",38.1,17.5,53.2,"104.61196127","96.920236746"
"Alvarez, Yordan","670541","2024","0.959",".402",".414",".303",76.6,"7.6","93.1",35.4,14.5,49.7,"104.097105087","96.703519522"
"Paredes, Isaac","670623","2024","0.739",".327",".308",".124",68.2,"8","85",37,4.5,27.1,"95.875582928","91.952619865"
"Walls, Taylor","670764","2024","0.530",".245",".256",".079",67.3,"7.2","86.1",29.9,3.2,24,"95.086734605","91.544710263"
"Friedl Jr., TJ","670770","2024","0.690",".305",".295",".095",70.5,"6.8","86",29.9,3.2,31.5,"96.990036","92.527458326"
"Herrera, Iván","671056","2024","0.800",".351",".369",".166",73.3,"7.5","89.3",38.2,9,42.1,"100.658165843","94.599725311"
"Casas, Triston","671213","2024","0.799",".342",".330",".237",74.6,"7.7","90.2",35.6,13.3,45.2,"101.435410588","95.112485926"
"Ramos, Heliot","671218","2024","0.791",".339",".340",".238",75.2,"6.9","91.5",34.3,14.5,47.5,"102.620742924","95.895956716"
"García, Luis","671277","2024","0.762",".328",".333",".180",71.7,"7.3","89.1",32.8,8,41.7,"100.167127696","94.249397672"
"Freeman, Tyler","671289","2024","0.626",".283",".303",".103",71.7,"7.2","87.7",30.7,3.2,34.6,"98.573015071","93.423975986"
"Butler, Lawrence","671732","2024","0.807",".345",".347",".221",74.2,"7.1","91.1",35.1,11,47.4,"101.824301046","95.302256275"
